Laiks,Pilsēta,Temperatūra_C,Gaisa_mitrums,Apraksts
2025-05-21 19:07:09,Riga,20.58,47,clear sky
2025-05-21 19:07:09,Madona,16.96,50,few clouds
2025-05-21 19:07:09,Tukums,17.92,50,scattered clouds
2025-05-21 19:17:18,Riga,20.02,50,clear sky
2025-05-21 19:17:19,Madona,16.96,50,few clouds
2025-05-21 19:17:19,Tukums,17.92,50,scattered clouds
2025-05-21 19:37:46,Riga,20.02,19.36,49,1002,6.17,0,clear sky,0,0,☀️ Skaidrs laiks
2025-05-21 19:37:46,Madona,15.8,14.98,59,1005,2.56,22,few clouds,0,0,☁️ Mākoņains
2025-05-21 19:37:46,Tukums,16.9,16.13,57,1003,3.65,24,few clouds,0,0,☁️ Mākoņains
2025-05-21 19:38:17,Rīga,20.04,19.07,37,1003,6.17,0,clear sky,0,0,☀️ Skaidrs laiks
2025-05-21 19:38:18,Madona,15.8,14.98,59,1005,2.56,22,few clouds,0,0,☁️ Mākoņains
2025-05-21 19:38:18,Tukums,16.9,16.13,57,1003,3.65,24,few clouds,0,0,☁️ Mākoņains
